NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NumberOfOfficers,OfficerRace,OfficerGender
1,N,N,L,U,U,1,W,M
1,F,Y,W,M,U,1,W,M
1,F,Y,W,M,U,2,W;W,M;M
1,N,Y,U,M,U,1,W,M
1,N,Y,L,M,U,1,W,M
1,N,N,L,F,U,1,W,M
1,F,Y,L,M,U,3,H;W;W,M;M;M
1,N,Y,U,M,U,1,W,M
1,F,Y,W,M,U,1,W,M
1,F,Y,L,M,U,1,W,M
1,F,Y,L,M,U,1,W,M
1,F,Y,W,M,U,1,H,M
1,N,Y,L,M,U,1,W,M
1,F,N,W,M,U,3,W;W;H,M;M;M
1,N,Y,U,U,U,1,W,M
1,F,Y,W,M,U,3,H;W;W,M;M;M
1,F,N,B,M,U,2,W;W,M;F
1,F,N,W,M,U,1,H,M
1,N,Y,U,U,U,4,W;W;H;H,M;M;M;M
1,F,Y,B,M,U,1,W,M
1,N,N,U,U,U,1,W,M
1,N,Y,W,M,U,1,W,M
1,N,N,L,M,U,1,H,M
1,N,Y,U,M,U,1,W,M
1,F,Y,U,M,U,1,W,M
1,N,Y,L,M,U,1,H,M
1,F,Y,W,M,U,1,W,M
1,F,Y,W,M,U,2,W;H,M;M
1,N,N,U,M,U,1,W,M
1,N,Y,L,M,U,1,W,M
1,F,Y,U,M,U,3,U;H;W,M;M;M
1,N,Y,U,M,U,1,H,M
1,F,Y,W,M,U,6,H;H;W;W;W;W,M;F;M;M;M;M
1,N,Y,L,M,U,1,W,M
1,F,N,W,M,U,1,W,M
1,N,Y,L,M,U,1,H,M
1,N,N,U,M,U,1,W,M
1,N,N,L,U,U,1,W,M
1,N,Y,L,M,U,2,W;W,F;M
1,F,N,W,M,U,2,H;U,M;M
1,F,N,W,M,U,1,W,M
1,F,Y,B,M,U,1,H,M
1,F,Y,W,M,U,1,W,M
1,F,Y,U,M,U,1,H,M
1,F,N,W,M,U,1,H,M
1,N,Y,L,M,U,1,W,M
1,N,Y,L,M,U,1,W,M
1,F,Y,W,F,U,1,W,M
1,F,N,L,M,U,2,W;W,M;M
1,F,Y,U,M,U,1,W,M
1,N,U,L,M,U,1,W,M
1,N,U,L,M,U,10,W;W;H;W;H;H;W;B;U;H,F;M;M;M;M;M;M;M;M;M
1,F,Y,U,M,U,1,W,M
1,F,N,U,M,U,1,W,M
1,F,Y,U,M,U,3,W;H;W,M;M;M
1,N,Y,L,M,U,1,U,M
1,N,N,L,M,U,1,H,M
1,F,Y,W,M,U,2,W;H,M;M
1,F,N,L,M,U,1,W,M
1,N,N,U,U,U,2,W;W,M;M
1,N,N,U,U,U,2,W;W,M;M
1,F,Y,L,M,U,2,W;H,M;M
1,F,N,L,M,U,1,W,M
1,N,N,U,U,U,1,W,M
1,F,Y,L,M,U,1,W,M
1,N,N,W,M,U,1,W,F
1,N,Y,L,M,U,1,W,M
1,N,N,U,U,U,1,U,U
1,N,Y,U,U,U,1,U,U
1,N,Y,U,U,U,3,U,U
